Wallet,Pending ORI,Pending JUMP,Formatted Pending ORI,Formatted Pending JUMP
0x01F73549b5078a27d8a5d1df43F483c1c49daF45,400827805.31438076,80165561.06287615,4.008278053143808e-10,8.016556106287615e-11
0x01Ffa506217d21Bc51Bb14bDe45D5Bc14092368e,212698439886646100,42539687977329224,0.2126984398866461,0.042539687977329224
0x021463f7871a52406F55Db952c97d68Fba69381e,400826443.31438076,80165288.66287616,4.0082644331438074e-10,8.016528866287616e-11
0x021E6E2e2617553C0E46c2fBa6230511305c98Cb,276168065964856960,55233613192971390,0.27616806596485693,0.05523361319297139
0x0222a4a4257610153DCd110fF23249b53d841269,400840523.31438076,80168104.66287616,4.0084052331438075e-10,8.016810466287616e-11
0x0230C65A6d9d0881579b80F81a5559B650Bd79D4,336134891938113300000,67226978387622670000,336.1348919381133,67.22697838762267
0x023C02087bD2bF2AebfB4c323936d0f7EcB71c93,8671094908191540000,1734218981638308000,8.67109490819154,1.734218981638308
0x02403BA61ed817a87B46A69Ac98D6ADd69f55cB1,400852601.31438076,80170520.26287615,4.0085260131438076e-10,8.017052026287616e-11
0x0244480CBbAF1DdCa3E5d487eD4e66ba80C371Fe,472778510733922100000,94555702146784410000,472.7785107339221,94.55570214678441
0x024c36feb585d62A1358373236F34D7146D15E71,535574607317348500,107114921463469700,0.5355746073173485,0.1071149214634697
0x02579637ae36b0b0fdf96ad94925193728272dB5,1278236047073353700,255647209414670750,1.2782360470733538,0.25564720941467073
0x027A3dCfED8d7F98aB9812030E98e2AB2a4a57CB,400835930.31438076,80167186.06287615,4.0083593031438074e-10,8.016718606287615e-11
0x02975d3F90EB8607359372D6c22e3229f98a6837,773151341833416000000,154630268366683180000,773.1513418334159,154.63026836668317
0x02a7550693D0fe093E0646b1c9faa9b1D8856b0a,430496295974378300,86099259194875660,0.43049629597437833,0.08609925919487567
0x02da6e2cbcc167182F7e3FCC9EC05d916DE78f3e,484605925491348340000,96921185098269670000,484.60592549134833,96.92118509826967
0x02e6c2E7b95BD928b12D65DdC5c0166c3290fB2c,400854620.31438076,80170924.06287615,4.0085462031438077e-10,8.017092406287615e-11
0x033Ade6600Cc34E5E8C07c173fe2E07B1C12a6A3,887230715151862000,177446143030372400,0.887230715151862,0.17744614303037243
0x035eF354C0a6B61EE95278de96598508d2da3e5d,400854459.31438076,80170891.86287615,4.008544593143808e-10,8.017089186287614e-11
0x03B373938BB20535D141A26a3bfc46460D5FDf63,206200702490388500000,41240140498077700000,206.2007024903885,41.24014049807769
0x03c4CB5A2D8AD62aA33d4AA128725610a01B962D,285031455750671960000,57006291150134395000,285.03145575067197,57.006291150134395
0x03De24273dd06EE8Dd8cEF4F6D887E554121F3C6,2537471649308386300,507494329861677250,2.537471649308386,0.5074943298616772
0x03eCd356F48fc9582a1E040D01600aeE4De0a758,2164721217186500400,432944243437300100,2.1647212171865005,0.4329442434373001
0x044334d66A94C895ea2E3aF7118405fA743F8095,3162627851339467,632525570267893.4,0.003162627851339467,0.0006325255702678933
0x046e02933840F9095F28A11B02887893C9a79d83,841766750419963500,168353350083992700,0.8417667504199635,0.16835335008399271
0x04Ae0a73CeDAAe242d51713a9927eBFa2D01380D,640224217971013300000,128044843594202660000,640.2242179710133,128.04484359420266
0x04c911E173cf95Bd21E517e887E329ffdd73134A,400848252.31438076,80169650.46287616,4.0084825231438076e-10,8.016965046287615e-11
0x04DFbCDcD02f8D69528B4339543A01021Ca92431,400833110.31438076,80166622.06287615,4.0083311031438074e-10,8.016662206287615e-11
0x04e7736A6EA225Be55Bf37C0a2B725Bd66290cb7,289764280171520620000,57952856034304120000,289.7642801715206,57.952856034304126
0x04e96CDcFbccE8c972C5f976117784933E0Cc6af,8505747010721672000,1701149402144334300,8.505747010721672,1.7011494021443343
0x0520ddB05847aE0c5c24fe4a372D8c4f94bde323,400829247.31438076,80165849.46287616,4.008292473143808e-10,8.016584946287615e-11
0x0536Fcb4948b7CfCbBdfe8e9B247489B49E6f79d,24657741941374996000,4931548388274999000,24.657741941374997,4.931548388274999
0x054A604A0778F644Bf29322D800061fAF70D200D,400832546.31438076,80166509.26287615,4.0083254631438075e-10,8.016650926287615e-11
0x058eB2f232FBe4f07cC3A1ddb55c2aAc369973d4,640222217330574100000,128044443466114830000,640.2222173305742,128.0444434661148
0x059A36Df4483049F8B31B50afBbE5043c3C9172e,508167547612816740000,101633509522563350000,508.16754761281675,101.63350952256334
0x05e45ebBFD62b5E448e0073ABFB4a956FE13f4d1,221206363614479400000,44241272722895880000,221.2063636144794,44.24127272289588
0x05F4ccFe7747aA083954F54C6c67e93882c6428C,101784715805553850000,20356943161110770000,101.78471580555386,20.35694316111077
0x060eF66D57F7ae0505d596f6DA65EB5c779f9eEb,99165637043381930000,19833127408676385000,99.16563704338193,19.833127408676386
0x0625F1330Def2f8d2Ad64dbbF62eCC6fD0b9efd7,429398751653202240,85879750330640450,0.42939875165320224,0.08587975033064045
0x0640629e8f7eD42fFea9c97261f8Ad4a4dAe7538,19482820786969854000,3896564157393970700,19.482820786969853,3.896564157393971
0x06431c3ff81f1e43De3Cd63265b56C2F6562041f,16073450045245220000,3214690009049044000,16.07345004524522,3.214690009049044
0x0662D622C50708aAe5dFe599fe9589dB1D143157,400853813.31438076,80170762.66287616,4.0085381331438076e-10,8.017076266287616e-11
0x06679A4BFDf36E45f35D4486E662e59F27C5C84f,400849700.31438076,80169940.06287615,4.0084970031438077e-10,8.016994006287615e-11
0x067Ef3c16F47cca6a3ACB5942C6D4BC89Ed0A8B1,75227621215034900000,15045524243006980000,75.2276212150349,15.04552424300698
0x0697A61f94DCd7eA71ea08f569961Af74d46CF7A,9018295564266589000,1803659112853318000,9.01829556426659,1.803659112853318
0x069b7E18AA622b1F0FD61f787a037fd52E40900F,400829408.31438076,80165881.66287616,4.0082940831438077e-10,8.016588166287616e-11
0x06Bd6890A9F460A6Cacad67D116fD552DaD61EdD,400841007.31438076,80168201.46287616,4.0084100731438075e-10,8.016820146287615e-11
0x06c922aB286196B558A0eF8dAbD99E2b98bD4166,180040930092050400000,36008186018410082000,180.04093009205042,36.00818601841008
0x06DBc2A657f7fEa67A89C7f267BFCc722E014494,6.195430087637999e+21,1.2390860175275999e+21,6195.430087637998,1239.0860175275998
