Wallet,Pending ALLOY,Pending JUMP,Formatted Pending ALLOY,Formatted Pending JUMP
0x005103734019b472056C6BEa076dc3e565Fa3dd9,2.170379420375482e+21,434075884075096400000,2170.379420375482,434.0758840750964
0x0084f1798082146a3182AAa26A72A11f78AC7E2A,947132457351280100000,189426491470256000000,947.1324573512801,189.42649147025602
0x00c66C751732Ec2ae7B678d5e40c0593949a1351,545000493671224700000,109000098734244940000,545.0004936712247,109.00009873424494
0x0152C9090583716449ac6AB63c3Cb29220175e8f,72103556316959920000,14420711263391984000,72.10355631695991,14.420711263391985
0x01c43f6B7E2f4D6c9A63C55bC49b1627Ae3Bc463,1.0195857833430121e+21,203917156668602420000,1019.5857833430122,203.91715666860242
0x01e10182e08cF1400165ECdEd27d654E21260598,33628311816957180000,6725662363391437000,33.62831181695718,6.725662363391437
0x0207cd3C1c50E01cc836a5BcA276Dbe9a9607494,920674639922353100000,184134927984470620000,920.6746399223531,184.13492798447064
0x0254e6d5cc67C26748EFdB2D4C5f43F93cF694D0,88858274526930140000,17771654905386030000,88.85827452693015,17.77165490538603
0x02989Bd6493FE11Bef9F0c7249c6ee466EA417B9,3992129541806288000,798425908361257600,3.9921295418062877,0.7984259083612576
0x02AB69E61f7caF7025258Fb2047776AcA0a151fD,12216209394718546000,2443241878943709000,12.216209394718545,2.4432418789437094
0x02ba594343B72D9FA510E680D919B318b6F3E012,513967596691112660000,102793519338222530000,513.9675966911127,102.79351933822254
0x04062ad8EdcDBE43195Ba51FD1F54819Ba5CAA94,31216878427861220000,6243375685572244000,31.21687842786122,6.243375685572245
0x040F8B67E22eef19809E1DC04Da3913F136838D0,28523312431974048000,5704662486394809000,28.52331243197405,5.70466248639481
0x04897c101230f43A148850aD0F6C7910c8e92ddC,46335865899614950000,9267173179922991000,46.33586589961495,9.267173179922992
0x050c78b12A14aC58833C4799080449F285F460c2,447241896040953150000,89448379208190620000,447.2418960409532,89.44837920819063
0x05a0fCd4af724DFC51Ba32114be70d5a837370Ef,411298571215266400000,82259714243053270000,411.2985712152664,82.25971424305327
0x05A30CC0e108606fa036023D09dD8a1a7aD8E329,2148040989751014000,429608197950202750,2.148040989751014,0.4296081979502028
0x05ffC1aa6133f6f777b589d0087ca88598df9e82,58101557628962010000,11620311525792403000,58.10155762896201,11.620311525792404
0x0634A0414F654f1582DFf2685a9447466B6e63aC,314349909572074730000,62869981914414950000,314.34990957207475,62.86998191441495
0x0681661dc92E748a74a1310285431EeAC0422976,3125912275456422,625182455091284.4,0.003125912275456422,0.0006251824550912844
0x07197EBFF88dbF51924e845963ec783Ad20E4FB5,3.141483142100512e+21,628296628420102300000,3141.483142100512,628.2966284201024
0x0795aF1757Ee7ffd39F43be0440601ee4Ee72CFb,2.134056436222276e+21,426811287244455150000,2134.056436222276,426.8112872444552
0x07df4A7B2E156763a6259FD038f4d1461880c18a,217362767891123000000,43472553578224600000,217.362767891123,43.4725535782246
0x0847EFF1Bd5d62EaB9c187B936dC96190fA4E7E1,3397244239142229000,679448847828445800,3.397244239142229,0.6794488478284458
0x084c4F99Bd5a6cC37586A8915396B69aDFE7084f,206759189425175560000,41351837885035110000,206.75918942517555,41.35183788503511
0x08a14fe1eC175968342f754C6b8FB36eE12Bd0b5,97002836686030590000,19400567337206116000,97.00283668603059,19.400567337206116
0x0952ecc0080Ed9A0cBD5839a3CC6758b85C3a835,348848666888373300000,69769733377674660000,348.84866688837326,69.76973337767465
0x0a2d3Dd46E44AcEC0DA085268502880bB384bCC0,214608957011659520000,42921791402331910000,214.60895701165953,42.921791402331905
0x0a60cCE8D8b91e06e01f344dd16d4B8697b3795E,146950868720131850000,29390173744026370000,146.95086872013184,29.39017374402637
0x0a9b181Da5D4a4a53b89f2E6CFf08BaEEE43De6c,299184038445246300000,59836807689049260000,299.1840384452463,59.83680768904926
0x0b01b5d3483fD5d40c93490ED2f9E12634073BE7,366891782873487500000,73378356574697505000,366.8917828734875,73.3783565746975
0x0B2E4afeF808E1CeAEb240622135d4B71DBAdbEF,210692814756586980000,42138562951317400000,210.69281475658698,42.1385629513174
0x0B48D1e6cEB12fa1643385A1aaec0cb7B2CeC73b,908567912942904300000,181713582588580860000,908.5679129429043,181.71358258858086
0x0b7F08CDacDAa6E0b9f8e7b114d41161EE96f0b0,2.3222863054192792e+21,464457261083855800000,2322.2863054192794,464.4572610838558
0x0BCB211Be061d5eb3C4308Ba741BC401c9F217f2,73133386416173420000,14626677283234683000,73.13338641617342,14.626677283234683
0x0BD10F96958D31Ee0353Ac4F617D7c08323c97d9,624062509383587700000,124812501876717550000,624.0625093835878,124.81250187671755
0x0c22EfA4259297DDC30BC744695315ce83e58adD,325711126999545300000,65142225399909060000,325.7111269995453,65.14222539990905
0x0c8C84B804066fD8977A77C7B4302A5b8f58A29e,2.111703768056195e+21,422340753611239000000,2111.703768056195,422.340753611239
0x0CE56280BF51dC8211952C3522D4E1CE917319A6,12063136388399022000,2412627277679804400,12.063136388399021,2.4126272776798046
0x0dea1C278Fc9cA793e31FDfc893E38031d1C62E3,107485657843583940000,21497131568716788000,107.48565784358394,21.49713156871679
0x0dFBf3B041b2f318Dada1933c8d11f8613E4807E,36995862127890555000,7399172425578111000,36.995862127890554,7.399172425578111
0x0E6613a0FFdDb04D2E37E476949E744b5D9c8C7C,113689524695685070000,22737904939137016000,113.68952469568507,22.737904939137017
0x0F45888184E3C53D373a91C9C261683Bb49a6025,104219103040140480000,20843820608028094000,104.21910304014048,20.843820608028093
